platform,title,link,price,location,price_clean
krisha,3-комнатная квартира · 105 м² · 1/3 этаж,https://krisha.kz/a/show/761806232?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=550,59 500 000 〒,Евразия 44,59500000
krisha,3-комнатная квартира · 115 м² · 2/3 этаж,https://krisha.kz/a/show/1004254669?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=551,120 000 000 〒,"Енбекшинский р-н, 193 квартал участок 1690/2",120000000
krisha,3-комнатная квартира · 70 м² · 3/12 этаж,https://krisha.kz/a/show/1005319030?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=552,73 000 000 〒,"Медеуский р-н, мкр Самал-2 78 — ЛУЧШАЯ ЛОКАЦИЯ В САМАЛ 2",73000000
krisha,2-комнатная квартира · 42 м² · 14/16 этаж,https://krisha.kz/a/show/1004247059?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=553,27 500 000 〒,"Алматы р-н, Ж.Нажимеденова 54",27500000
krisha,1-комнатная квартира · 46 м² · 2/9 этаж,https://krisha.kz/a/show/1005102985?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=554,19 650 000 〒,"р-н Байконур, Янукеевича 1",19650000
krisha,2-комнатная квартира · 48 м² · 4/5 этаж,https://krisha.kz/a/show/1005368779?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=555,14 900 000 〒,Ауэзова 178,14900000
krisha,3-комнатная квартира · 74.7 м² · 2/9 этаж,https://krisha.kz/a/show/1004193950?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=556,46 200 000 〒,"Жетысуский р-н, Райымбека",46200000
krisha,3-комнатная квартира · 130 м² · 13/16 этаж,https://krisha.kz/a/show/694420398?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=557,46 200 000 〒,"Наурызбайский р-н, мкр Шугыла, Жуалы 4",46200000
krisha,2-комнатная квартира · 63 м² · 4/9 этаж,https://krisha.kz/a/show/1005337364?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=558,34 000 000 〒,"Алатауский р-н, мкр Зердели 1/142 — Поликлиника №29",34000000
krisha,2-комнатная квартира · 56 м² · 2/9 этаж,https://krisha.kz/a/show/1003147642?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=559,23 500 000 〒,17-й мкр 97 — ЖК Фэмили хаус,23500000
krisha,3-комнатная квартира · 110 м² · 5/6 этаж,https://krisha.kz/a/show/1004911576?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=560,38 500 000 〒,"мкр Нурсая, Акжарма",38500000
krisha,3-комнатная квартира · 59.4 м² · 3/5 этаж,https://krisha.kz/a/show/1004537056?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=561,13 000 000 〒,Астана 16,13000000
krisha,2-комнатная квартира · 48 м² · 2/5 этаж,https://krisha.kz/a/show/1003516214?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=562,17 500 000 〒,"мкр Авангард-4, Гумарова 13",17500000
krisha,2-комнатная квартира · 45 м² · 6/13 этаж,https://krisha.kz/a/show/1005689861?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=563,42 000 000 〒,"Жетысуский р-н, Назарбаева 28 — Назарбаева Раинбека",42000000
krisha,2-комнатная квартира · 68.2 м² · 7/17 этаж,https://krisha.kz/a/show/680747372?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=564,95 000 000 〒,"Бостандыкский р-н, Сейфуллина 574/1",95000000
krisha,3-комнатная квартира · 84 м² · 4/19 этаж,https://krisha.kz/a/show/1004810549?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=565,57 500 000 〒,"Сарайшык р-н, К. Аманжолова 28/2 20",57500000
krisha,2-комнатная квартира · 52 м² · 5/6 этаж,https://krisha.kz/a/show/1002757941?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=566,19 000 000 〒,"Ульбинский, Сатпаева 15",19000000
krisha,1-комнатная квартира · 41 м² · 3 этаж,https://krisha.kz/a/show/1005478984?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=567,11 482 800 〒,Сарыарка 14Б,11482800
krisha,3-комнатная квартира · 79.3 м² · 2/5 этаж,https://krisha.kz/a/show/760530245?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=568,20 500 000 〒,Жениса 33,20500000
krisha,6-комнатная квартира · 138 м² · 5/5 этаж,https://krisha.kz/a/show/1005535082?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=569,42 000 000 〒,"р-н Байконур, Улица Жумабека Ташенова 2/3",42000000
krisha,2-комнатная квартира · 55 м² · 9/17 этаж,https://krisha.kz/a/show/1005007714?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=570,86 000 000 〒,"Бостандыкский р-н, Аль-Фараби 41 — Аль-Фараби Сейфуллина",86000000
krisha,3-комнатная квартира · 95 м² · 3/9 этаж,https://krisha.kz/a/show/761470617?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=571,91 000 000 〒,"Медеуский р-н, Абдуллиных",91000000
krisha,3-комнатная квартира · 90 м² · 9/10 этаж,https://krisha.kz/a/show/1000995081?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=572,45 500 000 〒,"Алатауский р-н, мкр Аккент, Мкр. Аккент",45500000
krisha,4-комнатная квартира · 165 м² · 2/4 этаж,https://krisha.kz/a/show/1005099340?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=573,150 000 000 〒,"Есильский р-н, Табысты",150000000
krisha,4-комнатная квартира · 124 м² · 9/16 этаж,https://krisha.kz/a/show/696600361?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=574,145 000 000 〒,"Есильский р-н, Турар Рыскулов 1 — Мега, Назарбаев Университет, НИШ, Экспо",145000000
krisha,2-комнатная квартира · 53.7 м² · 6/9 этаж,https://krisha.kz/a/show/1005355601?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=575,41 500 000 〒,"Алмалинский р-н, мкр Тастак-2",41500000
krisha,2-комнатная квартира · 45 м² · 2/5 этаж,https://krisha.kz/a/show/693108888?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=576,10 000 000 〒,"Алихана Бокейханова р-н, Майкудук, Майкудук, 12й микрорайон 44 — ТД Магтуб",10000000
krisha,1-комнатная квартира · 50 м²,https://krisha.kz/a/show/1004379983?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=577,48 000 000 〒,Туристов 12 — Marina Club,48000000
krisha,6-комнатная квартира · 330 м² · 2/4 этаж,https://krisha.kz/a/show/1001786779?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=578,150 000 000 〒,"мкр. Алтын орда, Мангилик ел 7",150000000
krisha,3-комнатная квартира · 80 м² · 18/20 этаж,https://krisha.kz/a/show/1005503563?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=579,70 500 000 〒,"Есильский р-н, Турар Рыскулова 1/1 — Видовая квартира на Expo 2017, Mega Silk Way Назарбаев Университет",70500000
